
> raven@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000

✓ Starting...
Creating turbopack project { dir: 'C:\\Users\\mk0\\raven', testMode: true }
✓ Ready in 1182ms
 GET /api/memory 200 in 30ms (compile: 13ms, proxy.ts: 11ms, render: 5ms)
 GET /api/devices/status 200 in 39ms (compile: 21ms, proxy.ts: 13ms, render: 5ms)
 GET /api/devices/list 200 in 45ms (compile: 30ms, proxy.ts: 12ms, render: 4ms)
 GET /api/custom-items 200 in 20ms (compile: 4ms, proxy.ts: 9ms, render: 7ms)
 GET /api/custom-items 200 in 13ms (compile: 4ms, proxy.ts: 4ms, render: 5ms)
 GET /api/tasks 200 in 18ms (compile: 3ms, proxy.ts: 5ms, render: 10ms)
 GET /api/memory 200 in 29ms (compile: 7ms, proxy.ts: 9ms, render: 13ms)
 POST /api/chat 200 in 3.5s (compile: 5ms, proxy.ts: 5ms, render: 3.5s)
 GET /api/memory 200 in 12ms (compile: 3ms, proxy.ts: 4ms, render: 5ms)
 GET /api/memory 200 in 16ms (compile: 9ms, proxy.ts: 4ms, render: 3ms)
 GET /api/tasks 200 in 16ms (compile: 4ms, proxy.ts: 5ms, render: 7ms)
 POST /api/relationship 200 in 27ms (compile: 11ms, proxy.ts: 6ms, render: 10ms)
